interaction_id,page_id,feature_id,name,interaction_type,test_tag,precondition,action,target,api_operation_id,introduced_in,expected_result,functional_authority
INT-ME-003,ME-001,PROFILE-003,打开账户余额,TAP,me_wallets,页面处于允许该动作的状态,点击账户卡,ME-005,getMyWallets,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-004,ME-001,PROFILE-002,打开会员中心,TAP,me_member,页面处于允许该动作的状态,点击会员卡,ME-004,getMyMember,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-005,ME-001,PROFILE-004,打开道具中心,TAP,me_props,页面处于允许该动作的状态,点击道具中心,ME-006,getPropDisplay,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-006,ME-001,PROFILE-005,打开浏览记录占位,TAP,me_history,页面处于允许该动作的状态,点击浏览记录,ME-007,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-007,ME-001,PROFILE-005,打开收藏占位,TAP,me_favorites,页面处于允许该动作的状态,点击收藏,ME-008,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-008,ME-001,PROFILE-005,打开实名认证占位,TAP,me_real_name,页面处于允许该动作的状态,点击实名认证,ME-009,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-009,ME-001,PROFILE-005,打开客服,TAP,me_support,页面处于允许该动作的状态,点击联系客服,ME-010,getSupportConfig,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-010,ME-001,PROFILE-005,打开设置,TAP,me_settings,页面处于允许该动作的状态,点击设置,ME-011,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ME-011,ME-001,PROFILE-001,我的页面重试,TAP,me_retry,页面处于允许该动作的状态,点击重试,资料摘要,getMySummary,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-001,ME-002,PUBLISH-004,切换项目状态标签,TAP,my_projects_tab_{status},页面处于允许该动作的状态,点击状态标签,本人项目列表,listMyProjects,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-002,ME-002,PUBLISH-004,打开本人项目详情,TAP,my_project_{projectId},页面处于允许该动作的状态,点击项目,HOME-004,getProjectDetail,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-003,ME-002,PUBLISH-004,打开项目操作面板,TAP,my_project_more_{projectId},页面处于允许该动作的状态,点击更多,ME-OV-002,LOCAL_OVERLAY,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-004,ME-002,PUBLISH-004,我的项目加载更多,SCROLL,my_projects_list,页面处于允许该动作的状态,滚动到底部,下一游标,listMyProjects,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-005,ME-002,PUBLISH-004,我的项目重试,TAP,my_projects_retry,页面处于允许该动作的状态,点击重试,本人项目列表,listMyProjects,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MYPROJ-006,ME-002,PUBLISH-002,空列表去发布,TAP,my_projects_publish,页面处于允许该动作的状态,点击发布项目,PUB-001,LOCAL_NAVIGATION,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PROFILE-001,ME-003,PROFILE-001,个人资料返回,TAP,profile_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-MEMBER-001,ME-004,PROFILE-002,会员开通引导,TAP,member_open_action,页面处于允许该动作的状态,点击立即开通,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,明确本期不实现在线开通，不创建订单或假支付,contracts/feature-map.yaml
INT-MEMBER-002,ME-004,PROFILE-002,会员页返回,TAP,member_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-WALLET-001,ME-005,PROFILE-003,账户操作说明,TAP,wallet_action_info,页面处于允许该动作的状态,点击余额卡,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-WALLET-002,ME-005,PROFILE-003,账户页返回,TAP,wallet_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PROP-001,ME-006,PROFILE-004,查看道具说明,TAP,prop_{propCode},页面处于允许该动作的状态,点击道具卡,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PROP-002,ME-006,PROFILE-004,道具页返回,TAP,props_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PLACE-001,ME-007,PROFILE-005,占位页返回,TAP,history_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PLACE-002,ME-008,PROFILE-005,占位页返回,TAP,favorites_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-PLACE-003,ME-009,PROFILE-005,占位页返回,TAP,real_name_back,页面处于允许该动作的状态,点击返回,ME-001,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SUPPORT-001,ME-010,PROFILE-005,复制客服信息,TAP,support_copy,页面处于允许该动作的状态,点击复制,系统剪贴板,LOCAL_CLIPBOARD,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SUPPORT-002,ME-010,PROFILE-005,打开客服外部应用,TAP,support_external,页面处于允许该动作的状态,点击打开,白名单外部应用,LOCAL_EXTERNAL_OPEN,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SUPPORT-003,ME-010,PROFILE-005,客服配置重试,TAP,support_retry,页面处于允许该动作的状态,点击重试,客服配置,getSupportConfig,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SET-001,ME-011,PROFILE-005,清理图片与列表缓存,TAP,settings_clear_cache,页面处于允许该动作的状态,点击清理缓存,本地缓存,LOCAL_CLEAR_CACHE,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SET-002,ME-011,AUTH-007,设置页打开协议,TAP,settings_agreement,页面处于允许该动作的状态,点击用户协议,AUTH-004,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SET-003,ME-011,AUTH-007,设置页打开隐私,TAP,settings_privacy,页面处于允许该动作的状态,点击隐私政策,AUTH-005,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SET-004,ME-011,PROFILE-005,打开关于,TAP,settings_about,页面处于允许该动作的状态,点击关于,ME-012,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SET-005,ME-011,AUTH-006,打开退出确认,TAP,settings_logout,页面处于允许该动作的状态,点击退出登录,ME-OV-001,LOCAL_OVERLAY,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ABOUT-001,ME-012,SYS-001,关于页检查更新,TAP,about_check_update,页面处于允许该动作的状态,点击检查更新,版本服务,getCurrentRelease,V1.4.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ABOUT-002,ME-012,PROFILE-005,关于页返回,TAP,about_back,页面处于允许该动作的状态,点击返回,ME-011,LOCAL_BACK,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-LOGOUT-001,ME-OV-001,AUTH-006,确认退出登录,TAP,logout_confirm,页面处于允许该动作的状态,点击退出,撤销令牌并清理本地,logout,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-LOGOUT-002,ME-OV-001,AUTH-006,取消退出登录,TAP,logout_cancel,页面处于允许该动作的状态,点击取消,关闭弹层,LOCAL_DISMISS,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-001,ME-OV-002,PUBLISH-003,项目操作查看,TAP,project_action_view,页面处于允许该动作的状态,点击查看,HOME-004,getProjectDetail,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-002,ME-OV-002,PUBLISH-003,项目操作编辑,TAP,project_action_edit,页面处于允许该动作的状态,点击编辑,PUB-004,LOCAL_NAVIGATION,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-003,ME-OV-002,PUBLISH-003,项目操作下架,TAP,project_action_offline,页面处于允许该动作的状态,点击下架,状态 API,offlineProject,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-004,ME-OV-002,PUBLISH-003,项目操作重提,TAP,project_action_resubmit,页面处于允许该动作的状态,点击重提,状态 API,resubmitProject,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-005,ME-OV-002,PUBLISH-003,项目操作删除,TAP,project_action_delete,页面处于允许该动作的状态,点击删除,删除 API,deleteProject,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-ACT-006,ME-OV-002,PUBLISH-003,关闭项目操作,TAP,project_action_close,页面处于允许该动作的状态,点击关闭,我的发布,LOCAL_DISMISS,V1.2.0,产生合同规定的唯一结果,contracts/feature-map.yaml
